"Market","#of tests","#of tests with pv<0.05","mean score(-2log(pv))","#of bootstrap","si","smi","ni.1","nmi","pi","pmi","rri","pv.fisher"
"New York, NY",28,19,10.6561929684588,1000,298.373403116847,5099.09476291559,28,1507,8.88598555648548e-35,3.32245965804825e-111,3.73898836198686e-77,0.01
"San Francisco, CA",28,14,8.78629155195618,1000,246.016163454773,5151.45200257766,28,1507,1.19091975347317e-25,6.72072268633943e-116,5.64330440127415e-91,0.075
"Saint Louis, MO",28,12,8.11496695446386,1000,227.219074724988,5170.24909130745,28,1507,1.72010496181041e-22,1.33560275079192e-117,7.76465843913501e-96,0.125
"Charleston, SC",28,11,6.55136219995042,1000,183.438141598612,5214.03002443383,28,1507,1.8411593238499e-15,1.34522279965998e-121,7.30638995894769e-107,0.351
"Jackson, MS",28,9,6.54780607041904,1000,183.338569971733,5214.1295960607,28,1507,1.9073957767572e-15,1.31719889294685e-121,6.90574504252204e-107,0.351
"San Jose, CA",28,9,5.93824493525374,1000,166.270858187105,5231.19730784533,28,1507,7.22781401193662e-13,3.5396011453245e-123,4.89719455907264e-111,0.457
"Tulsa, OK",28,10,5.64280825743602,1000,157.998631208209,5239.46953482423,28,1507,1.16793399704824e-11,6.0979319136361e-124,5.22112716047965e-113,0.503
"Orlando, FL",28,9,5.54681337690353,1000,155.310774553299,5242.15739147914,28,1507,2.84178543466511e-11,3.44083299422037e-124,1.21079971494253e-113,0.519
"Minneapolis, MN",28,7,5.52434642869866,1000,154.681700003562,5242.78646602887,28,1507,3.49536302830395e-11,3.00936354598163e-124,8.60958796443488e-114,0.524
"Boston, MA",28,7,4.93426952496549,1000,138.159546699034,5259.3086193334,28,1507,6.81835125201267e-09,8.84774967065696e-126,1.29763770501633e-117,0.632
"Greenville, SC",28,6,4.72369356464931,1000,132.263419810181,5265.20474622226,28,1507,4.11430961944668e-08,2.50430938343301e-126,6.08682771854638e-119,0.661
"Birmingham, AL",28,6,4.53713294467261,1000,127.039722450833,5270.4284435816,28,1507,1.93921971099804e-07,8.17285115377508e-127,4.21450499261315e-120,0.686
"Washington, DC",28,5,4.13555817623389,1000,115.795628934549,5281.67253709789,28,1507,4.69901031908971e-06,7.30133078246561e-128,1.55380181924776e-122,0.749
"Syracuse, NY",28,7,4.08696893062368,1000,114.435130057463,5283.03303597497,28,1507,6.80656064833605e-06,5.44852776393707e-128,8.00481777132043e-123,0.755
"Dayton, OH",28,4,3.94865565222937,1000,110.562358262423,5286.90580777001,28,1507,1.91657135363819e-05,2.36688312024167e-128,1.23495695359772e-123,0.773
"Las Vegas, NV",28,8,3.84840414529306,1000,107.755316068206,5289.71284996423,28,1507,3.98295615766839e-05,1.2927094011831e-128,3.24560288893525e-124,0.78
"Greensboro, NC",28,5,3.80741028635652,1000,106.607488017983,5290.86067801445,28,1507,5.34610521312979e-05,1.00933922370897e-128,1.88798982337661e-124,0.787
"Boise, ID",28,5,3.68628118699885,1000,103.215873235968,5294.25229279647,28,1507,0.000125440599366925,4.85649321136267e-129,3.87154815575858e-125,0.8
"Oakland, CA",28,6,3.67775907487086,1000,102.977254096384,5294.49091193605,28,1507,0.000133068362189274,4.6127478524795e-129,3.46644970794666e-125,0.801
"Los Angeles, CA",28,4,3.63490646446504,1000,101.777381005021,5295.69078502742,28,1507,0.000178698080175993,3.56032069041028e-129,1.99236650270885e-125,0.802
"Memphis, TN",28,3,3.30254983781653,1000,92.4713954588628,5304.99677057357,28,1507,0.00155921158360164,4.76489261896179e-130,3.05596281420338e-127,0.834
"Hartford, CT",28,4,3.26606177267804,1000,91.4497296349852,5306.01843639745,28,1507,0.00195049496637713,3.81979268977115e-130,1.958370954869e-127,0.837
