"Market","nij","nidot","pij","qij","rr","llrij.0","llrij","N.emp","mlr.cri","pv.mlr","thred"
"New York, NY",20,28,0.714285714285714,0.196416721964167,3.63658301158301,10.9773280273207,10.9773280273207,10000,4.29801580743555,2e-04,0.1
"San Francisco, CA",14,28,0.5,0.200398142003981,2.49503311258278,4.29801580743555,4.29801580743555,10000,4.29801580743555,0.1199,0.1
"Saint Louis, MO",12,28,0.428571428571429,0.201725282017253,2.12453007518797,2.62621159365608,2.62621159365608,10000,4.29801580743555,0.5703,0.1
"Tulsa, OK",12,28,0.428571428571429,0.201725282017253,2.12453007518797,2.62621159365608,2.62621159365608,10000,4.29801580743555,0.5703,0.1
"Charleston, SC",11,28,0.392857142857143,0.202388852023889,1.94110070257611,1.91717874630007,1.91717874630007,10000,4.29801580743555,0.8608,0.1
"Jackson, MS",10,28,0.357142857142857,0.203052422030524,1.75887021475257,1.30245931917517,1.30245931917517,10000,4.29801580743555,0.9895,0.1
"Orlando, FL",10,28,0.357142857142857,0.203052422030524,1.75887021475257,1.30245931917517,1.30245931917517,10000,4.29801580743555,0.9895,0.1
"San Jose, CA",10,28,0.357142857142857,0.203052422030524,1.75887021475257,1.30245931917517,1.30245931917517,10000,4.29801580743555,0.9895,0.1
"Syracuse, NY",10,28,0.357142857142857,0.203052422030524,1.75887021475257,1.30245931917517,1.30245931917517,10000,4.29801580743555,0.9895,0.1
"Atlanta, GA",0,28,0,0.209688122096881,0,NA,0,10000,4.29801580743555,1,0.1
"Austin, TX",3,28,0.107142857142857,0.207697412076974,0.515860337745322,0.817300877719447,0,10000,4.29801580743555,1,0.1
"Baltimore, MD",4,28,0.142857142857143,0.207033842070338,0.690018315018315,0.307709102136528,0,10000,4.29801580743555,1,0.1
"Birmingham, AL",9,28,0.321428571428571,0.20371599203716,1.57782689623081,0.791175208650372,0.791175208650372,10000,4.29801580743555,1,0.1
"Boise, ID",7,28,0.25,0.205043132050431,1.21925566343042,0.126377731242769,0.126377731242769,10000,4.29801580743555,1,0.1
"Boston, MA",7,28,0.25,0.205043132050431,1.21925566343042,0.126377731242769,0.126377731242769,10000,4.29801580743555,1,0.1
"Charlotte, NC",2,28,0.0714285714285714,0.20836098208361,0.342811646951774,1.66988562050722,0,10000,4.29801580743555,1,0.1
"Chicago, IL",2,28,0.0714285714285714,0.20836098208361,0.342811646951774,1.66988562050722,0,10000,4.29801580743555,1,0.1
"Cincinnati, OH",7,28,0.25,0.205043132050431,1.21925566343042,0.126377731242769,0.126377731242769,10000,4.29801580743555,1,0.1
"Cleveland, OH",5,28,0.178571428571429,0.206370272063703,0.865296279283418,0.0539939994620227,0,10000,4.29801580743555,1,0.1
"Columbia, SC",4,28,0.142857142857143,0.207033842070338,0.690018315018315,0.307709102136528,0,10000,4.29801580743555,1,0.1
"Columbus, OH",1,28,0.0357142857142857,0.209024552090246,0.170861678004535,3.04890322581895,0,10000,4.29801580743555,1,0.1
"Dallas, TX",6,28,0.214285714285714,0.205706702057067,1.04170506912442,0.00484947191881702,0.00484947191881702,10000,4.29801580743555,1,0.1
"Dayton, OH",8,28,0.285714285714286,0.204379562043796,1.39795918367347,0.394489304203205,0.394489304203205,10000,4.29801580743555,1,0.1
"Denver, CO",0,28,0,0.209688122096881,0,NA,0,10000,4.29801580743555,1,0.1
"Detroit, MI",4,28,0.142857142857143,0.207033842070338,0.690018315018315,0.307709102136528,0,10000,4.29801580743555,1,0.1
"Greensboro, NC",8,28,0.285714285714286,0.204379562043796,1.39795918367347,0.394489304203205,0.394489304203205,10000,4.29801580743555,1,0.1
"Greenville, SC",9,28,0.321428571428571,0.20371599203716,1.57782689623081,0.791175208650372,0.791175208650372,10000,4.29801580743555,1,0.1
"Hartford, CT",5,28,0.178571428571429,0.206370272063703,0.865296279283418,0.0539939994620227,0,10000,4.29801580743555,1,0.1
"Houston, TX",1,28,0.0357142857142857,0.209024552090246,0.170861678004535,3.04890322581895,0,10000,4.29801580743555,1,0.1
"Indianapolis, IN",4,28,0.142857142857143,0.207033842070338,0.690018315018315,0.307709102136528,0,10000,4.29801580743555,1,0.1
"Jacksonville, FL",5,28,0.178571428571429,0.206370272063703,0.865296279283418,0.0539939994620227,0,10000,4.29801580743555,1,0.1
"Kansas City, MO",3,28,0.107142857142857,0.207697412076974,0.515860337745322,0.817300877719447,0,10000,4.29801580743555,1,0.1
"Las Vegas, NV",8,28,0.285714285714286,0.204379562043796,1.39795918367347,0.394489304203205,0.394489304203205,10000,4.29801580743555,1,0.1
"Los Angeles, CA",5,28,0.178571428571429,0.206370272063703,0.865296279283418,0.0539939994620227,0,10000,4.29801580743555,1,0.1
"Louisville, KY",6,28,0.214285714285714,0.205706702057067,1.04170506912442,0.00484947191881702,0.00484947191881702,10000,4.29801580743555,1,0.1
"Memphis, TN",6,28,0.214285714285714,0.205706702057067,1.04170506912442,0.00484947191881702,0.00484947191881702,10000,4.29801580743555,1,0.1
"Miami, FL",5,28,0.178571428571429,0.206370272063703,0.865296279283418,0.0539939994620227,0,10000,4.29801580743555,1,0.1
"Minneapolis, MN",8,28,0.285714285714286,0.204379562043796,1.39795918367347,0.394489304203205,0.394489304203205,10000,4.29801580743555,1,0.1
"Naples, FL",4,23,0.173913043478261,0.206349206349206,0.842809364548495,0.0610945478700273,0,10000,4.29801580743555,1,0.1
"Nashville, TN",2,28,0.0714285714285714,0.20836098208361,0.342811646951774,1.66988562050722,0,10000,4.29801580743555,1,0.1
"Oakland, CA",8,28,0.285714285714286,0.204379562043796,1.39795918367347,0.394489304203205,0.394489304203205,10000,4.29801580743555,1,0.1
"Philadelphia, PA",3,28,0.107142857142857,0.207697412076974,0.515860337745322,0.817300877719447,0,10000,4.29801580743555,1,0.1
"Phoenix, AZ",3,28,0.107142857142857,0.207697412076974,0.515860337745322,0.817300877719447,0,10000,4.29801580743555,1,0.1
"Pittsburgh, PA",2,28,0.0714285714285714,0.20836098208361,0.342811646951774,1.66988562050722,0,10000,4.29801580743555,1,0.1
"Portland, OR",2,28,0.0714285714285714,0.20836098208361,0.342811646951774,1.66988562050722,0,10000,4.29801580743555,1,0.1
"Providence, RI",2,28,0.0714285714285714,0.20836098208361,0.342811646951774,1.66988562050722,0,10000,4.29801580743555,1,0.1
"Raleigh, NC",3,28,0.107142857142857,0.207697412076974,0.515860337745322,0.817300877719447,0,10000,4.29801580743555,1,0.1
"Richmond, VA",1,28,0.0357142857142857,0.209024552090246,0.170861678004535,3.04890322581895,0,10000,4.29801580743555,1,0.1
"Sacramento, CA",6,28,0.214285714285714,0.205706702057067,1.04170506912442,0.00484947191881702,0.00484947191881702,10000,4.29801580743555,1,0.1
"Salt Lake City, UT",4,28,0.142857142857143,0.207033842070338,0.690018315018315,0.307709102136528,0,10000,4.29801580743555,1,0.1
"San Antonio, TX",2,28,0.0714285714285714,0.20836098208361,0.342811646951774,1.66988562050722,0,10000,4.29801580743555,1,0.1
"San Diego, CA",5,28,0.178571428571429,0.206370272063703,0.865296279283418,0.0539939994620227,0,10000,4.29801580743555,1,0.1
"Seattle, WA",6,28,0.214285714285714,0.205706702057067,1.04170506912442,0.00484947191881702,0.00484947191881702,10000,4.29801580743555,1,0.1
"Tampa, FL",3,28,0.107142857142857,0.207697412076974,0.515860337745322,0.817300877719447,0,10000,4.29801580743555,1,0.1
"Washington, DC",9,28,0.321428571428571,0.20371599203716,1.57782689623081,0.791175208650372,0.791175208650372,10000,4.29801580743555,1,0.1
