"Market","rice_avg_col","bread_avg_col","potato_avg_col","lettuce_avg_col","onion_avg_col","col_eggs_avg_col","chicken_avg_col","cheese_avg_col","milk_avg_col","oranges_avg_col","tomato_avg_col","banana_avg_col","apples_avg_col","InexpensiveMeal","ThreeCourseMeal","Boots","Jeans","RunningShoes","SummerDress","Rent3Br_CityCenter","Rent3Br_OutsideCenter","Rent1Br_CityCenter","Rent1Br_OutsideCenter","MonthlyPass","Childcare","BasicUtilities","Internet","GasPrice"
"Atlanta, GA","0.595352865792963","0.313614654021202","0.649453083439432","0.824882158177884","0.331845541074207","0.211748653427004","0.84501604807511","0.77706262674281","0.962683415596266","0.480707615873966","0.32554554923477","0.592244913869787","0.217644888350132","0.558561947953803","0.680102205682907","0.466346016699354","0.398774010452688","0.307702230801706","0.485281933409257","0.630698969259547","0.84024339659331","0.695139566116172","0.864817229860542","0.257388533096959","0.997900537387069","0.892296196323837","0.717889635246028","0.73361392464315"
"Austin, TX","0.12641193013457","0.668067798437926","0.681274187879702","0.384319690297026","0.898427331645523","0.0659896885994873","0.0191805833842697","0.393810514917977","0.862392478253695","0.634894418632968","0.588985567461381","0.0431480081660122","0.635504863633516","0.558592983208089","0.938163452035187","0.512812534694282","0.951535299500478","0.306426735542546","0.716987237171499","0.390523911665837","0.398907353079361","0.439104320219667","0.73936237230979","0.192369780337773","0.990869870553182","0.983216689030532","0.819439470933681","0.30483523323185"
"Baltimore, MD","0.0730056823904745","0.41098477795472","0.461169311637173","0.559278987451628","0.0562510149713878","0.7913243701224","0.0999125911490964","0.348248988925149","0.324234565073561","0.913710612634779","0.0627250531309271","0.149138500744109","0.127778181059786","0.559971801370847","0.123717700605654","0.458561736625152","0.346996639855413","0.775379816663758","0.210513329887429","0.912084857437549","0.722975136974119","0.893098438485785","0.741840688440833","0.927367961886359","0.305399676046164","0.786508952671401","0.708257178737121","0.799194870554496"
"Birmingham, AL","0.823160875029207","0.743732738049356","0.012786544966301","0.373898038377959","0.000107298809189578","0.0148772395229611","0.838185439186915","0.885027995422999","0.418981282934601","0.30857329750104","0.518872035488637","0.598470401826438","0.240821994495236","0.561561608746962","0.372186092383628","0.00197907858168249","0.276086729159448","0.000908104651990791","0.0846467686970621","0.36435999453676","0.255280082799672","0.311041502820036","0.263108020073524","0.238627748725531","0.438790537281193","0.000169827626476385","0.0744443485920278","0.0874519719439081"
"Boise, ID","0.245510074682406","0.295281866676908","0.0494920085368493","0.653321182220961","0.0140026959639017","0.0140876209799729","0.000176825824729278","0.785538434142073","0.0557831368874021","0.218811939279525","0.181195218370981","0.913934104889532","0.0633789220559496","0.569889502322833","0.0184764259537039","0.999460556912558","0.503871576747384","0.3300982650429","0.172901131307906","0.252697250968221","0.228164684644792","0.220332004419448","0.365630175616679","0.173868445439659","0.138693589587427","0.992019828692364","0.317791675657474","0.439342603905476"
"Boston, MA","0.257847773973742","0.518383464437272","0.173547487550122","0.693356299813342","0.307625758698688","0.177853747211448","6.29831414472976e-08","0.448527834909182","0.823631456311911","0.411811844084333","0.1984288646889","0.861077192169159","0.459594012916741","0.558589007524759","0.011507720682208","0.179473907359179","0.227900618451263","0.702076407811165","0.882993563752123","0.00295663669117122","0.00124519857339453","0.0011772861626667","0.00662437575286069","0.511389816082788","1.58171679582382e-05","0.578241372762272","0.503117316866823","0.861836510613528"
"Charleston, SC","8.11054399070561e-05","0.00912364816137223","5.06569781584003e-07","0.0224009844429518","7.1003291978072e-15","0.0256853512398854","0.0217620650081624","0.187193254643135","0.744311417109556","0.000819211538923443","0.00136016213571459","0.249249558242753","1.94775626931015e-07","0.39312270527292","0.342122637955195","0.447618540030188","0.965332931963045","0.380182707622172","0.506554028428932","0.629151595925294","0.996171973878199","0.795764828348554","0.955120698981925","0.173924724178185","0.400587260501894","0.00408910618223724","0.685392352433018","0.393463492213301"
"Charlotte, NC","0.783983063364023","0.861174358892713","0.43458792742947","0.403350393542272","0.536144985666017","0.58624616674668","0.415144865022455","0.73295393516888","0.997799832097002","0.336467029926829","0.37001062366709","0.973907058006123","0.0797280338476646","0.559629449204055","0.292210589949084","0.457602577236576","0.227658517228327","0.0254014791092287","0.321218722414242","0.772033758163439","0.566850644154031","0.950547156265762","0.776289046927346","0.414968526057304","0.958405128784567","0.974341554349464","0.194057273743373","0.112385440974472"
"Chicago, IL","0.218999815691672","0.608513016178877","0.510208597252652","0.890738438262217","0.597912622445868","0.13463868297883","1.39237159907819e-05","0.408157041048447","0.910140122639797","0.956830260418913","0.353257480671041","0.0114484935047955","0.894310542633258","0.669617184388633","0.121463563512416","0.384003671351365","0.151273944902422","0.599080502807143","0.528457167922777","0.153570722023184","0.246307602047751","0.175752239752632","0.643164006599126","0.174065415540718","0.487235430576625","0.475262706691252","0.826878103485316","0.967867280875096"
"Cincinnati, OH","0.00468262831886041","0.0332989416607186","0.836487689274134","0.153554290140169","0.0138190466988399","0.156976613155107","0.579799599080184","0.0766627043918763","0.366229398746677","0.574589409807658","0.447611948826104","0.245552921468737","0.0868593212943306","0.778717731033836","0.0182463336272684","0.183020204997178","0.700551085370606","0.850915572605714","0.634628155024545","0.406881904050204","0.247152765969817","0.373933147156014","0.31632106484444","0.0234976713263215","0.639158637591655","0.996171773381089","0.806277882890146","0.522248306411779"
