BasicUtilities,BasicUtilities_Max,BasicUtilities_Min,Boots,Boots_Max,Boots_Min,BuyApt_CityCenter,BuyApt_CityCenter_Max,BuyApt_CityCenter_Min,BuyApt_OutsideCenter,BuyApt_OutsideCenter_Max,BuyApt_OutsideCenter_Min,Childcare,Childcare_Max,Childcare_Min,FitnessClub,FitnessClub_Max,FitnessClub_Min,InexpensiveMeal,InexpensiveMeal_Max,InexpensiveMeal_Min,Internet,Internet_Max,Internet_Min,Jeans,Jeans_Max,Jeans_Min,MarketName,McDonaldsMeal,McDonaldsMeal_Max,McDonaldsMeal_Min,MonthlyPass,MonthlyPass_Max,MonthlyPass_Min,MonthlySalary,Rent1Br_CityCenter,Rent1Br_CityCenter_Max,Rent1Br_CityCenter_Min,Rent1Br_OutsideCenter,Rent1Br_OutsideCenter_Max,Rent1Br_OutsideCenter_Min,Rent3Br_CityCenter,Rent3Br_CityCenter_Max,Rent3Br_CityCenter_Min,Rent3Br_OutsideCenter,Rent3Br_OutsideCenter_Max,Rent3Br_OutsideCenter_Min,ResponseCount,RunningShoes,RunningShoes_Max,RunningShoes_Min,SummerDress,SummerDress_Max,SummerDress_Min,ThreeCourseMeal,ThreeCourseMeal_Max,ThreeCourseMeal_Min
141.01,249.53,90,99.73,150,65,253.59,317.46,150,100.78,170,63.65,831.39,"1,200.00",400,33.34,65,18,15,20,11,57.2,85,40,39.66,60,29,"Atlanta, GA",7,8,6,95,95,85,"3,986.67","1,460.41","1,742.20","1,100.00","1,030.00","1,400.00",750,"2,532.00","3,000.00","2,100.00","1,618.61","2,200.00","1,200.00",These data are based on 1987 entries in the past 18 months from 288 different contributors.,80.09,100,60,32,60,20,50,65,35
143.84,250,76.5,86.94,125,65,375.27,538,200,192.1,250,150,828.57,"1,400.00",500,43,70,25,15,20,10,58.09,80,40,42.93,60,30,"Austin, TX",7,8,6,41.25,75,40,"3,577.60","1,597.75","2,100.00",900,"1,072.79","1,300.00",850,"2,771.88","3,600.00","1,800.00","1,839.81","2,300.00","1,500.00",These data are based on 1832 entries in the past 18 months from 280 different contributors.,69.61,90,50,36.41,55,25,52.5,70,40
137.62,251.85,100,99.92,150,60,174.49,295,109.4,102.25,160,59.76,"1,036.67","1,500.00",700,54.86,80,35,15,15,12,62.14,85,50,39.23,50,30,"Baltimore, MD",7,8,6,68,75,65,"2,933.33","1,367.82","1,800.00",910,"1,071.98","1,298.60","1,000.00","2,156.73","3,000.00","1,500.00","1,671.43","2,000.00","1,200.00",These data are based on 956 entries in the past 18 months from 125 different contributors.,73.38,100,55,29.65,40,20,60,80,50
238.54,270,161.46,63.75,75,60,115.8,130,88,89.83,90,89,675,850,500,30.88,55,10,15,15,12,47.5,60,31,38.57,56,25,"Birmingham, AL",6.5,7.5,6,44,45,44,"3,300.83",954.55,"1,250.00",800,690,875,550,"1,650.00","1,900.00","1,250.00","1,156.25","1,275.00","1,000.00",These data are based on 380 entries in the past 18 months from 76 different contributors.,57.5,65,50,27.6,35,25,47.5,60,40
144.61,236.11,76.5,93,150,50,172.98,187.66,130,123.22,144,95,533.33,600,400,29.93,45,20,13,15,10,52.87,85,40,46,50,40,"Boise, ID",6.5,7.5,6,40,46,30,"2,493.03",878.21,"1,100.00",725,746.67,"1,000.00",600,"1,500.00","2,500.00","1,050.00","1,133.33","1,500.00",900,These data are based on 861 entries in the past 18 months from 106 different contributors.,69.8,90,40,29.17,40,20,40,60,32
158.12,228.73,75,105.41,200,75,935.08,"1,016.12",600,386.75,600,300,"1,695.83","3,000.00","1,200.00",52.14,88,24,15,20,12,64.1,90,40,48.22,65,35,"Boston, MA",8,9.65,6.5,84.5,85,81,"3,460.83","2,486.42","3,200.00","1,950.00","1,700.32","2,200.00","1,300.00","4,113.37","5,000.00","3,500.00","2,661.47","3,300.00","2,200.00",These data are based on 1945 entries in the past 18 months from 281 different contributors.,76.82,100,60,34.29,50,20,65,80,50
216.19,350,120,85.83,100,60,538.5,696.99,320,129.5,188,100,"1,000.00","1,500.00",550,32.92,60,20,12.5,15,11,56.87,100,40,43,60,30,"Charleston, SC",8,9,6,40,57,40,"2,757.14","1,412.67","2,000.00","1,100.00","1,000.00","1,200.00",900,"2,533.93","3,200.00","1,800.00","1,547.50","1,750.00","1,300.00",These data are based on 504 entries in the past 18 months from 82 different contributors.,79.44,150,60,37.71,50,30,57,75,45
145.16,250,85,86.07,120,50,220.78,300,158,101.52,150,76.76,841.33,"1,200.00",350,22.28,40,10,15,25,12,50.88,75,35,38.12,45,30,"Charlotte, NC",6,8,5.5,88,88,80,"2,727.73","1,341.77","1,600.00","1,150.00","1,060.04","1,450.00",800,"2,042.86","3,100.00","1,500.00","1,351.67","1,700.00","1,050.00",These data are based on 1017 entries in the past 18 months from 145 different contributors.,63.31,80,45,30.75,50,20,57.5,70,40
126.71,200,63.75,101.03,150,65,290.95,400,195,163.49,290,100,970,"1,600.00",500,46.83,75,20,13.25,17,10,61.08,80,40,49.17,65,35,"Chicago, IL",7,8,6,100,105,100,"3,612.31","1,806.40","2,116.28","1,200.00","1,107.17","1,400.00",800,"3,132.47","4,200.00","2,400.00","1,948.53","2,700.00","1,300.00",These data are based on 2475 entries in the past 18 months from 368 different contributors.,77.55,100,60,37.52,60,29.95,60,80,45
144.48,210,80,80.56,110,55,151.26,167.15,93,68.29,111.48,44.85,925,"1,000.00",850,30.24,45,15,13.5,17,10,61.27,85,45,44.8,65,25,"Cincinnati, OH",6.59,8,6,120,121,70,"2,850.67",999.44,"1,300.00",750,721.07,880,600,"1,700.00","2,500.00",850,"1,150.00","1,500.00",800,These data are based on 980 entries in the past 18 months from 130 different contributors.,75.83,90,50,32.91,45,25,40,50,35
