apples,apples_avg_col,apples_col,apples_max_col,apples_min_col,apples_price,banana,banana_avg_col,banana_col,banana_max_col,banana_min_col,banana_price,beef,beef_avg_col,beef_col,beef_max_col,beef_min_col,beef_price,bread,bread_avg_col,bread_col,bread_max_col,bread_min_col,bread_price,cheese,cheese_avg_col,cheese_col,cheese_max_col,cheese_min_col,cheese_price,chicken,chicken_avg_col,chicken_col,chicken_max_col,chicken_min_col,chicken_price,col_eggs_avg_col,col_eggs_col,col_eggs_max_col,col_eggs_min_col,dailymin,dailymin_price,eggs,eggs_price,lettuce,lettuce_avg_col,lettuce_col,lettuce_max_col,lettuce_min_col,lettuce_price,marketname,milk,milk_avg_col,milk_col,milk_max_col,milk_min_col,milk_price,monthlymin,monthlymin_price,onion,onion_avg_col,onion_col,onion_max_col,onion_min_col,onion_price,oranges,oranges_avg_col,oranges_col,oranges_max_col,oranges_min_col,oranges_price,potato,potato_avg_col,potato_col,potato_max_col,potato_min_col,potato_price,rice,rice_avg_col,rice_col,rice_max_col,rice_min_col,rice_price,tomato,tomato_avg_col,tomato_col,tomato_max_col,tomato_min_col,tomato_price
Apples (0.30 kg), 2.26,Apples (1 lb) ,4.00,1.50, 1.49,Banana (0.25 kg), 0.68,Banana (1 lb) ,1.00,0.55, 0.38,Beef Round (0.15 kg) (or Equivalent Back Leg Red Meat), 6.54,Beef Round (1 lb) (or Equivalent Back Leg Red Meat) ,10.99,4.00, 2.16, 0.71, 2.57,Loaf of Fresh White Bread (1 lb) ,3.63,1.50, 0.71,Local Cheese (0.10 kg), 4.86,Local Cheese (1 lb) ,7.00,3.00, 1.07,"Chicken Breasts (Boneless, Skinless), (0.15 kg)", 3.59,"Chicken Breasts (Boneless, Skinless), (1 lb) ",7.00,2.00, 1.19, 2.07,Eggs (regular) (12) ,3.00,1.50,Daily recommended minimum amount of money for food per person,10.75,Eggs (regular) (2.40), 0.41,Lettuce (0.20 head), 1.59,Lettuce (1 head) ,2.50,1.00, 0.32,"Atlanta, GA","Milk (regular), (0.25 liter)", 3.09,"Milk (regular), (1 gallon) ",4.00,2.38, 0.20,Monthly recommended minimum amount of money for food per person ,333.40,Onion (0.10 kg), 1.31,Onion (1 lb) ,2.00,0.89, 0.29,Oranges (0.30 kg), 1.50,Oranges (1 lb) ,2.00,1.00, 0.99,Potato (0.20 kg), 1.21,Potato (1 lb) ,2.00,0.80, 0.53,"Rice (white), (0.10 kg)", 1.64,"Rice (white), (1 lb) ",2.50,1.00, 0.36,Tomato (0.20 kg), 1.47,Tomato (1 lb) ,2.00,0.90, 0.65
Apples (0.30 kg), 2.06,Apples (1 lb) ,3.63,1.20, 1.36,Banana (0.25 kg), 0.50,Banana (1 lb) ,0.60,0.48, 0.27,Beef Round (0.15 kg) (or Equivalent Back Leg Red Meat), 5.76,Beef Round (1 lb) (or Equivalent Back Leg Red Meat) ,8.99,3.80, 1.90, 0.66, 2.41,Loaf of Fresh White Bread (1 lb) ,3.00,1.50, 0.66,Local Cheese (0.10 kg), 4.28,Local Cheese (1 lb) ,6.00,2.50, 0.94,"Chicken Breasts (Boneless, Skinless), (0.15 kg)", 4.26,"Chicken Breasts (Boneless, Skinless), (1 lb) ",8.00,1.99, 1.41, 2.95,Eggs (regular) (12) ,4.00,2.00,Daily recommended minimum amount of money for food per person,10.68,Eggs (regular) (2.40), 0.59,Lettuce (0.20 head), 1.20,Lettuce (1 head) ,2.00,0.89, 0.24,"Austin, TX","Milk (regular), (0.25 liter)", 3.19,"Milk (regular), (1 gallon) ",4.00,2.49, 0.21,Monthly recommended minimum amount of money for food per person ,331.10,Onion (0.10 kg), 1.09,Onion (1 lb) ,2.00,0.70, 0.24,Oranges (0.30 kg), 2.08,Oranges (1 lb) ,4.00,1.25, 1.37,Potato (0.20 kg), 1.00,Potato (1 lb) ,2.27,0.59, 0.44,"Rice (white), (0.10 kg)", 1.43,"Rice (white), (1 lb) ",2.00,0.78, 0.31,Tomato (0.20 kg), 1.63,Tomato (1 lb) ,3.00,0.99, 0.72
Apples (0.30 kg), 2.34,Apples (1 lb) ,4.00,1.50, 1.55,Banana (0.25 kg), 0.54,Banana (1 lb) ,0.60,0.49, 0.30,Beef Round (0.15 kg) (or Equivalent Back Leg Red Meat), 5.74,Beef Round (1 lb) (or Equivalent Back Leg Red Meat) ,8.00,4.00, 1.90, 0.69, 2.52,Loaf of Fresh White Bread (1 lb) ,3.25,1.50, 0.69,Local Cheese (0.10 kg), 4.19,Local Cheese (1 lb) ,6.00,2.00, 0.92,"Chicken Breasts (Boneless, Skinless), (0.15 kg)", 3.19,"Chicken Breasts (Boneless, Skinless), (1 lb) ",7.00,2.00, 1.05, 2.35,Eggs (regular) (12) ,3.29,2.00,Daily recommended minimum amount of money for food per person,10.85,Eggs (regular) (2.40), 0.47,Lettuce (0.20 head), 1.72,Lettuce (1 head) ,2.00,1.25, 0.34,"Baltimore, MD","Milk (regular), (0.25 liter)", 3.56,"Milk (regular), (1 gallon) ",5.00,3.00, 0.24,Monthly recommended minimum amount of money for food per person ,336.40,Onion (0.10 kg), 1.50,Onion (1 lb) ,2.00,0.83, 0.33,Oranges (0.30 kg), 1.90,Oranges (1 lb) ,2.99,1.50, 1.26,Potato (0.20 kg), 0.92,Potato (1 lb) ,1.50,0.50, 0.40,"Rice (white), (0.10 kg)", 1.37,"Rice (white), (1 lb) ",2.99,0.50, 0.30,Tomato (0.20 kg), 2.50,Tomato (1 lb) ,3.59,1.80, 1.10
Apples (0.30 kg), 2.25,Apples (1 lb) ,3.00,1.74, 1.49,Banana (0.25 kg), 0.68,Banana (1 lb) ,0.85,0.60, 0.38,Beef Round (0.15 kg) (or Equivalent Back Leg Red Meat), 3.80,Beef Round (1 lb) (or Equivalent Back Leg Red Meat) ,5.00,3.00, 1.26, 0.61, 2.20,Loaf of Fresh White Bread (1 lb) ,2.75,1.50, 0.61,Local Cheese (0.10 kg), 5.00,Local Cheese (1 lb) ,5.69,5.00, 1.10,"Chicken Breasts (Boneless, Skinless), (0.15 kg)", 3.70,"Chicken Breasts (Boneless, Skinless), (1 lb) ",4.00,3.50, 1.22, 3.13,Eggs (regular) (12) ,4.00,1.80,Daily recommended minimum amount of money for food per person,11.30,Eggs (regular) (2.40), 0.63,Lettuce (0.20 head), 1.83,Lettuce (1 head) ,3.50,1.00, 0.37,"Birmingham, AL","Milk (regular), (0.25 liter)", 3.48,"Milk (regular), (1 gallon) ",3.65,3.14, 0.23,Monthly recommended minimum amount of money for food per person ,350.37,Onion (0.10 kg), 1.90,Onion (1 lb) ,2.59,0.99, 0.42,Oranges (0.30 kg), 2.35,Oranges (1 lb) ,3.00,1.00, 1.55,Potato (0.20 kg), 1.71,Potato (1 lb) ,3.00,0.75, 0.76,"Rice (white), (0.10 kg)", 1.80,"Rice (white), (1 lb) ",3.00,0.79, 0.40,Tomato (0.20 kg), 2.06,Tomato (1 lb) ,3.00,1.50, 0.91
Apples (0.30 kg), 1.44,Apples (1 lb) ,1.99,0.90, 0.95,Banana (0.25 kg), 0.65,Banana (1 lb) ,1.00,0.48, 0.36,Beef Round (0.15 kg) (or Equivalent Back Leg Red Meat), 4.22,Beef Round (1 lb) (or Equivalent Back Leg Red Meat) ,4.99,2.50, 1.40, 0.55, 2.00,Loaf of Fresh White Bread (1 lb) ,2.35,1.48, 0.55,Local Cheese (0.10 kg), 4.87,Local Cheese (1 lb) ,5.99,4.00, 1.07,"Chicken Breasts (Boneless, Skinless), (0.15 kg)", 2.60,"Chicken Breasts (Boneless, Skinless), (1 lb) ",4.00,1.79, 0.86, 1.72,Eggs (regular) (12) ,2.75,1.00,Daily recommended minimum amount of money for food per person,8.21,Eggs (regular) (2.40), 0.34,Lettuce (0.20 head), 1.35,Lettuce (1 head) ,1.99,0.89, 0.27,"Boise, ID","Milk (regular), (0.25 liter)", 2.24,"Milk (regular), (1 gallon) ",3.00,1.79, 0.15,Monthly recommended minimum amount of money for food per person ,254.66,Onion (0.10 kg), 0.62,Onion (1 lb) ,0.85,0.40, 0.14,Oranges (0.30 kg), 1.24,Oranges (1 lb) ,2.00,0.79, 0.82,Potato (0.20 kg), 0.62,Potato (1 lb) ,0.89,0.35, 0.27,"Rice (white), (0.10 kg)", 2.00,"Rice (white), (1 lb) ",2.89,1.09, 0.44,Tomato (0.20 kg), 1.34,Tomato (1 lb) ,1.89,0.79, 0.59
Apples (0.30 kg), 2.13,Apples (1 lb) ,3.00,1.29, 1.41,Banana (0.25 kg), 0.63,Banana (1 lb) ,1.00,0.39, 0.35,Beef Round (0.15 kg) (or Equivalent Back Leg Red Meat), 5.88,Beef Round (1 lb) (or Equivalent Back Leg Red Meat) ,9.00,3.50, 1.94, 0.68, 2.47,Loaf of Fresh White Bread (1 lb) ,3.49,2.00, 0.68,Local Cheese (0.10 kg), 5.92,Local Cheese (1 lb) ,8.99,3.00, 1.31,"Chicken Breasts (Boneless, Skinless), (0.15 kg)", 5.07,"Chicken Breasts (Boneless, Skinless), (1 lb) ",8.99,2.00, 1.68, 2.81,Eggs (regular) (12) ,4.00,2.00,Daily recommended minimum amount of money for food per person,12.26,Eggs (regular) (2.40), 0.56,Lettuce (0.20 head), 1.37,Lettuce (1 head) ,2.00,1.00, 0.27,"Boston, MA","Milk (regular), (0.25 liter)", 3.01,"Milk (regular), (1 gallon) ",4.00,2.49, 0.20,Monthly recommended minimum amount of money for food per person ,379.91,Onion (0.10 kg), 1.32,Onion (1 lb) ,2.00,0.99, 0.29,Oranges (0.30 kg), 2.25,Oranges (1 lb) ,5.00,1.25, 1.49,Potato (0.20 kg), 1.43,Potato (1 lb) ,2.00,0.69, 0.63,"Rice (white), (0.10 kg)", 1.99,"Rice (white), (1 lb) ",3.00,1.00, 0.44,Tomato (0.20 kg), 2.29,Tomato (1 lb) ,3.50,1.49, 1.01
Apples (0.30 kg), 3.33,Apples (1 lb) ,3.99,2.99, 2.20,Banana (0.25 kg), 0.56,Banana (1 lb) ,0.69,0.33, 0.31,Beef Round (0.15 kg) (or Equivalent Back Leg Red Meat), 4.49,Beef Round (1 lb) (or Equivalent Back Leg Red Meat) ,5.99,3.49, 1.49, 0.83, 3.02,Loaf of Fresh White Bread (1 lb) ,3.50,1.88, 0.83,Local Cheese (0.10 kg), 6.50,Local Cheese (1 lb) ,10.00,3.00, 1.43,"Chicken Breasts (Boneless, Skinless), (0.15 kg)", 2.99,"Chicken Breasts (Boneless, Skinless), (1 lb) ",5.00,1.89, 0.99, 3.07,Eggs (regular) (12) ,4.00,2.29,Daily recommended minimum amount of money for food per person,14.37,Eggs (regular) (2.40), 0.61,Lettuce (0.20 head), 2.33,Lettuce (1 head) ,3.00,1.99, 0.47,"Charleston, SC","Milk (regular), (0.25 liter)", 3.26,"Milk (regular), (1 gallon) ",4.00,2.75, 0.22,Monthly recommended minimum amount of money for food per person ,445.38,Onion (0.10 kg), 2.69,Onion (1 lb) ,5.00,1.29, 0.59,Oranges (0.30 kg), 3.50,Oranges (1 lb) ,3.99,3.00, 2.31,Potato (0.20 kg), 2.33,Potato (1 lb) ,4.00,0.99, 1.03,"Rice (white), (0.10 kg)", 2.60,"Rice (white), (1 lb) ",3.00,2.19, 0.57,Tomato (0.20 kg), 2.99,Tomato (1 lb) ,4.00,1.99, 1.32
Apples (0.30 kg), 2.40,Apples (1 lb) ,5.00,1.89, 1.59,Banana (0.25 kg), 0.64,Banana (1 lb) ,0.80,0.59, 0.35,Beef Round (0.15 kg) (or Equivalent Back Leg Red Meat), 6.19,Beef Round (1 lb) (or Equivalent Back Leg Red Meat) ,9.00,3.00, 2.05, 0.64, 2.34,Loaf of Fresh White Bread (1 lb) ,3.49,1.79, 0.64,Local Cheese (0.10 kg), 4.80,Local Cheese (1 lb) ,7.00,3.00, 1.06,"Chicken Breasts (Boneless, Skinless), (0.15 kg)", 3.42,"Chicken Breasts (Boneless, Skinless), (1 lb) ",8.00,1.99, 1.13, 2.27,Eggs (regular) (12) ,3.00,1.77,Daily recommended minimum amount of money for food per person,11.56,Eggs (regular) (2.40), 0.45,Lettuce (0.20 head), 1.81,Lettuce (1 head) ,2.49,1.29, 0.36,"Charlotte, NC","Milk (regular), (0.25 liter)", 3.11,"Milk (regular), (1 gallon) ",3.75,2.69, 0.21,Monthly recommended minimum amount of money for food per person ,358.42,Onion (0.10 kg), 1.24,Onion (1 lb) ,2.69,0.69, 0.27,Oranges (0.30 kg), 2.32,Oranges (1 lb) ,4.00,0.99, 1.54,Potato (0.20 kg), 1.29,Potato (1 lb) ,3.00,0.89, 0.57,"Rice (white), (0.10 kg)", 1.81,"Rice (white), (1 lb) ",3.00,1.00, 0.40,Tomato (0.20 kg), 2.15,Tomato (1 lb) ,4.00,1.25, 0.95
Apples (0.30 kg), 1.97,Apples (1 lb) ,3.00,1.00, 1.30,Banana (0.25 kg), 0.82,Banana (1 lb) ,1.25,0.50, 0.45,Beef Round (0.15 kg) (or Equivalent Back Leg Red Meat), 5.17,Beef Round (1 lb) (or Equivalent Back Leg Red Meat) ,8.99,3.00, 1.71, 0.59, 2.15,Loaf of Fresh White Bread (1 lb) ,3.11,1.00, 0.59,Local Cheese (0.10 kg), 5.99,Local Cheese (1 lb) ,12.00,3.00, 1.32,"Chicken Breasts (Boneless, Skinless), (0.15 kg)", 4.78,"Chicken Breasts (Boneless, Skinless), (1 lb) ",6.00,2.00, 1.58, 2.00,Eggs (regular) (12) ,3.30,1.00,Daily recommended minimum amount of money for food per person,10.82,Eggs (regular) (2.40), 0.40,Lettuce (0.20 head), 1.56,Lettuce (1 head) ,2.50,0.99, 0.31,"Chicago, IL","Milk (regular), (0.25 liter)", 3.06,"Milk (regular), (1 gallon) ",4.00,2.00, 0.20,Monthly recommended minimum amount of money for food per person ,335.31,Onion (0.10 kg), 1.01,Onion (1 lb) ,1.50,0.69, 0.22,Oranges (0.30 kg), 1.82,Oranges (1 lb) ,3.70,0.99, 1.20,Potato (0.20 kg), 0.94,Potato (1 lb) ,1.75,0.50, 0.42,"Rice (white), (0.10 kg)", 2.01,"Rice (white), (1 lb) ",3.00,1.00, 0.44,Tomato (0.20 kg), 1.49,Tomato (1 lb) ,2.00,0.99, 0.66
Apples (0.30 kg), 1.48,Apples (1 lb) ,2.00,1.00, 0.98,Banana (0.25 kg), 0.56,Banana (1 lb) ,0.62,0.49, 0.31,Beef Round (0.15 kg) (or Equivalent Back Leg Red Meat), 4.78,Beef Round (1 lb) (or Equivalent Back Leg Red Meat) ,7.00,2.80, 1.58, 0.47, 1.70,Loaf of Fresh White Bread (1 lb) ,2.00,1.20, 0.47,Local Cheese (0.10 kg), 3.34,Local Cheese (1 lb) ,5.99,2.35, 0.74,"Chicken Breasts (Boneless, Skinless), (0.15 kg)", 3.49,"Chicken Breasts (Boneless, Skinless), (1 lb) ",5.99,2.00, 1.16, 2.02,Eggs (regular) (12) ,2.25,1.40,Daily recommended minimum amount of money for food per person,8.63,Eggs (regular) (2.40), 0.40,Lettuce (0.20 head), 1.00,Lettuce (1 head) ,1.00,0.99, 0.20,"Cincinnati, OH","Milk (regular), (0.25 liter)", 2.70,"Milk (regular), (1 gallon) ",3.30,1.99, 0.18,Monthly recommended minimum amount of money for food per person ,267.46,Onion (0.10 kg), 0.62,Onion (1 lb) ,1.00,0.45, 0.14,Oranges (0.30 kg), 1.57,Oranges (1 lb) ,2.19,1.20, 1.04,Potato (0.20 kg), 1.15,Potato (1 lb) ,1.30,0.79, 0.51,"Rice (white), (0.10 kg)", 1.15,"Rice (white), (1 lb) ",2.20,0.50, 0.25,Tomato (0.20 kg), 1.55,Tomato (1 lb) ,1.99,1.25, 0.69
