GasPrice,GasPrice_Max,GasPrice_Min,MarketName,ToyotaCorolla,ToyotaCorolla_Max,ToyotaCorolla_Min,VolkswagenGolf,VolkswagenGolf_Max,VolkswagenGolf_Min
 2.36,2.70,2.19,"Atlanta, GA"," 19,219.05","24,000.00","16,000.00"," 20,002.50","25,000.00","18,000.00"
 2.20,2.49,2.00,"Austin, TX"," 20,883.60","25,000.00","18,000.00"," 22,117.50","25,595.00","19,000.00"
 2.38,2.55,2.25,"Baltimore, MD"," 19,151.13","22,000.00","17,226.00"," 22,000.00","24,000.00","19,500.00"
 2.04,2.19,1.96,"Birmingham, AL"," 21,222.00","25,000.00","18,000.00"," 26,000.00","28,000.00","21,035.00"
 2.62,2.77,2.45,"Boise, ID"," 22,692.50","26,000.00","19,770.00"," 23,500.00","25,000.00","20,000.00"
 2.48,2.75,2.25,"Boston, MA"," 18,921.43","23,000.00","17,000.00"," 22,000.00","25,000.00","20,000.00"
 2.24,2.49,2.09,"Charlotte, NC"," 18,625.00","20,000.00","18,000.00"," 21,500.00","25,000.00","20,000.00"
 2.81,3.38,2.50,"Chicago, IL"," 20,587.93","24,000.00","17,000.00"," 22,000.00","25,000.00","19,000.00"
 2.43,3.00,2.12,"Cincinnati, OH"," 20,210.80","25,000.00","18,700.00"," 20,567.50","25,000.00","20,000.00"
 2.29,2.50,2.12,"Cleveland, OH"," 21,133.57","25,000.00","18,000.00"," 22,500.00","25,000.00","22,000.00"
 2.10,2.39,1.98,"Columbia, SC"," 18,502.00","24,000.00","16,000.00"," 20,175.00","24,000.00","20,000.00"
 2.38,2.56,2.12,"Columbus, OH"," 20,012.00","25,000.00","18,000.00"," 25,000.00","29,000.00","21,495.00"
 2.24,2.50,2.10,"Dallas, TX"," 18,468.00","23,000.00","14,000.00"," 20,000.00","25,000.00","18,495.00"
 2.29,2.49,2.12,"Dayton, OH"," 19,500.00","20,000.00","19,000.00"," 22,000.00","23,000.00","21,000.00"
 2.43,2.88,2.19,"Denver, CO"," 20,156.19","25,980.00","17,300.00"," 20,400.00","24,595.00","19,895.00"
 2.48,2.75,2.25,"Detroit, MI"," 20,726.40","25,000.00","18,000.00"," 22,499.00","27,000.00","20,000.00"
 2.30,2.40,2.12,"Greensboro, NC"," 18,500.00","20,000.00","16,000.00"," 19,447.50","19,895.00","19,000.00"
 2.11,2.40,1.89,"Greenville, SC"," 23,500.00","25,000.00","22,000.00"," 23,500.00","24,900.00","22,000.00"
 2.51,2.73,2.35,"Hartford, CT"," 19,500.00","20,000.00","18,500.00"," 21,000.00","23,000.00","20,000.00"
 2.16,2.39,2.00,"Houston, TX"," 20,070.29","25,000.00","17,000.00"," 20,000.00","25,000.00","19,000.00"
 2.41,2.60,2.15,"Indianapolis, IN"," 20,333.33","24,000.00","18,500.00"," 22,607.50","27,500.00","21,000.00"
 2.04,2.21,1.90,"Jackson, MS"," 22,000.00","40,000.00","19,600.00"," 24,300.00","27,000.00","24,000.00"
